Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Black Sheep Coffee,8 South Colonnade,"",Canary Wharf,London,E14 4PZ,51.504764,-0.021964
Black Sheep Coffee,26 Southampton Buildings,"",Holborn,London,WC2A 1PN,51.517613,-0.112160
Black Sheep Coffee,35 Coleman Street,"",London,"",EC2R 5EH,51.515492,-0.090132
Black Sheep Coffee,31 Eastcheap,"",London,"",EC3M 1DE,51.510685,-0.083823
Black Sheep Coffee,5-7 Goodge Street,"",Bloomsbury,London,W1T 2PD,51.519916,-0.134074
Black Sheep Coffee,Jubilee Place Shopping Centre,45 Bank Street,Canary Wharf,London,E14 5NY,51.503093,-0.018588
Black Sheep Coffee,4 George Street,"",Oxford,"",OX1 2AF,51.754028,-1.259214
Black Sheep Coffee,282 Pentonville Road,"",London,"",N1 9NR,51.530960,-0.121374
Black Sheep Coffee,Principal Place,10 Hearn Street,London,"",EC2A 3BR,51.522124,-0.079279
Black Sheep Coffee,"Unit 4 & 5A, Southbank Central",Hatfields,London,,SE1 9PG,51.507359,-0.107177
Black Sheep Coffee,81 Southwark Street,"",London,"",SE1 0HX,51.505450,-0.099538
Black Sheep Coffee,189 Victoria Street,,Westminster,London,SW1E 5NE,51.496516,-0.143647
Black Sheep Coffee,2 Olympic Way,Wembley Park,Wembley,London,HA9 0GU,51.562132,-0.279787
Black Sheep Coffee,125 Wood Street,"",London,"",EC2V 7AN,51.514776,-0.094735
Black Sheep Coffee,2-4 St Ann Street,"",Deansgate,Manchester,M3 2BW,53.481888,-2.247106
Black Sheep Coffee,Unit 1 Gateway House,Station Approach,"","",M1 2GH,53.478711,-2.232057
